2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files85 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files91 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files88 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files8 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files19 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files12 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files22 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files1 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files2 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files98 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files70 to /user/vihit/output
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files50 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:02 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files57 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files85 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files97 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files88 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files12 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files89 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files22 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files14 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files24 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files34 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files36 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files71 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files82 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files20 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files63 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files57 to /home/vihit/Desktop/IngestionITTests/archive
